"ValueCount","Name","LastWriteTime"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm9\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm9\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call10","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call10\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call10\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call2","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call2\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call2\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call3","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call3\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call3\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call4","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call4\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call4\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call5","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call5\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call5\.Default","18/11/2018 18:58:57"
